company name,stock code,timestamp,value
VODAFONE GROUP PLC,VOD,18.09.25 12:03:26 BST,84.88
LLOYDS BANKING GROUP PLC,LLOY,18.09.25 12:03:29 BST,83.12
HSBC HOLDINGS PLC,HSBA,18.09.25 12:03:31 BST,1012.2
GLENCORE PLC,GLEN,18.09.25 12:03:32 BST,310.9
BT GROUP PLC,BT.A,18.09.25 12:03:34 BST,199.15
BARCLAYS PLC,BARC,18.09.25 12:03:36 BST,378.7
CENTRICA PLC,CNA,18.09.25 12:03:40 BST,165.1
BP PLC,BP.,18.09.25 12:03:43 BST,422.0
OCADO GROUP PLC,OCDO,18.09.25 12:03:45 BST,225.2
BURBERRY GROUP PLC,BRBY,18.09.25 12:03:46 BST,1143.0
NON EXISTING COMPANY LLC,NON,,
